

Task name: Task - 1
Task description: -

Date of output: 2.5.2019

Survey of antecedent attributes

	Group	Name	Description
	Default Partial Cedent	Country (subset), 1 - 1	-
	Default Partial Cedent	Rank_ (subset), 1 - 1	-
	Default Partial Cedent	Year_ (subset), 1 - 1	-

Survey of variable antecedent attributes

	Group	Name	Description
	Default Partial Cedent	C1__Security_Apparatus (subset), 1 - 1	-
	Default Partial Cedent	Homeless_People_due_to_Natural_Disaster (subset), 1 - 1	-
	Default Partial Cedent	P2__Public_Services (subset), 1 - 1	-
	Default Partial Cedent	P3__Human_Rights (subset), 1 - 1	-
	Default Partial Cedent	S2__Refugees_and_IDPs (subset), 1 - 1	-
	Default Partial Cedent	X1__External_Intervention (subset), 1 - 1	-

Survey of succedent attributes

	Group	Name	Description

Survey of variable sukcedent attributes

	Group	Name	Description
	Default Partial Cedent	Total( Alert -> Warning)	-

Survey of Action4ft-Quantifiers
	a-frequency	Before >= 2.00 Absolute number
	a-frequency	After >= 2.00 Absolute number

Task parameters
	The comparison of the first set versus the second set
	Sets must differ in all rows (i.e. not overlapping sets)

Nr.	Hypothesis	D%-Sum	Df-Conf	Df-AFUI	Df-FUE	Df-Avg	R-Conf	R-DFUI	R-FUE	R-Avg	H-Conf	H-DFUI	H-FUE	H-Avg	B:a	B:b	B:c	B:d	B:r	B:n	B:Conf	B:DConf	B:EConf	B:Supp	B:Cmplt	B:AvgDf	B:Lift	B:LBound	B:UBound	B:ELBound	B:EUBound	B:DLBound	B:DUBound	B:Fisher	B:Chi-Sq	B:PSep	B:bMean	B:bVAR	B:bStDev	B:P(>=90%)	B:P(>=95%)	A:a	A:b	A:c	A:d	A:r	A:n	A:Conf	A:DConf	A:EConf	A:Supp	A:Cmplt	A:AvgDf	A:Lift	A:LBound	A:UBound	A:ELBound	A:EUBound	A:DLBound	A:DUBound	A:Fisher	A:Chi-Sq	A:PSep	A:bMean	A:bVAR	A:bStDev	A:P(>=90%)	A:P(>=95%)	
3	Year_(2014) :  (S2__Refugees_and_IDPs(10)  ->  S2__Refugees_and_IDPs(3.3)) >÷< (Total(Alert)  ->  Total(Warning))	1.11	0.6	0.3451178451	0.5561797753	15.5037229437	2.5	19.6363636364	2.375	-47.1624529317	2.5	19.6363636364	2.375	-0.0212033077	4	0	7	167	4	178	1	0.3636363636	0.9606741573	0.0224719101	0.3636363636	15.1818181818	16.1818181818	0.6561	1	0.0022655604	0.9992275996	0.9999987516	0.0000228997	0.0000081617	62.1233019854	0.75	0.8333333333	0.8333333333	0.1408590425	0.4095100045	0.2262190631	2	3	103	70	5	178	0.4	0.0185185185	0.404494382	0.0112359551	0.019047619	-0.3219047619	0.6780952381	0.99954	0.00856	1	0	1	0	0.9081022334	0.7667700568	52	0.4285714286	0.4285714286	0.1749635531	0.0012700011	0.0000864063	
200	Year_(2014) :  (C1__Security_Apparatus(9.4)  ->  C1__Security_Apparatus(5.5)) >÷< (Total(Alert)  ->  Total(Warning))	1.08	0.5	0.163126593	0.5393258427	15.3341991342	2	9.7272727273	2.3150684932	-99.6306818182	2	9.7272727273	2.3150684932	-0.0100370687	2	0	9	167	2	178	1	0.1818181818	0.9494382022	0.0112359551	0.1818181818	15.1818181818	16.1818181818	0.81	1	0.0132545732	0.9941881845	0.999999999	0.0000000455	0.0034913985	30.708677686	3.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	2	103	71	4	178	0.5	0.0186915888	0.4101123596	0.0112359551	0.019047619	-0.1523809524	0.8476190476	0.9963	0.0523	1	0	1	0	0.8115631655	0.136665392	51.5	0.5	0.5	0.1889822365	0.0085600036	0.0011581255	
163	Year_(2014) :  (P3__Human_Rights(9.9)  ->  P3__Human_Rights(6.9)) >÷< (Total(Alert)  ->  Total(Warning))	1.08	0.5	0.163126593	0.5393258427	15.3341991342	2	9.7272727273	2.3150684932	-99.6306818182	2	9.7272727273	2.3150684932	-0.0100370687	2	0	9	167	2	178	1	0.1818181818	0.9494382022	0.0112359551	0.1818181818	15.1818181818	16.1818181818	0.81	1	0.0132545732	0.9941881845	0.999999999	0.0000000455	0.0034913985	30.708677686	3.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	2	103	71	4	178	0.5	0.0186915888	0.4101123596	0.0112359551	0.019047619	-0.1523809524	0.8476190476	0.9963	0.0523	1	0	1	0	0.8115631655	0.136665392	51.5	0.5	0.5	0.1889822365	0.0085600036	0.0011581255	
42	Year_(2014) :  (X1__External_Intervention(9.9)  ->  X1__External_Intervention(5.6)) >÷< (Total(Alert)  ->  Total(Warning))	1.09	0.5	0.2540356839	0.5449438202	15.3341991342	2	14.5909090909	2.3287671233	-99.6306818182	2	14.5909090909	2.3287671233	-0.0100370687	3	0	8	167	3	178	1	0.2727272727	0.9550561798	0.0168539326	0.2727272727	15.1818181818	16.1818181818	0.729	1	0.0058118155	0.9977344396	0.9999999544	0.0000012484	0.0001785374	46.3262337662	1.6666666667	0.8	0.8	0.1632993162	0.3439000019	0.1854937502	2	2	103	71	4	178	0.5	0.0186915888	0.4101123596	0.0112359551	0.019047619	-0.1523809524	0.8476190476	0.9963	0.0523	1	0	1	0	0.8115631655	0.136665392	51.5	0.5	0.5	0.1889822365	0.0085600036	0.0011581255	
157	Year_(2014) :  (P3__Human_Rights(9.9)  ->  P3__Human_Rights(7.4)) >÷< (Total(Alert)  ->  Total(Warning))	1.08	0.4	0.1537807986	0.5337078652	15.1646753247	1.6666666667	6.4848484848	2.2837837838	885.6060606061	1.6666666667	6.4848484848	2.2837837838	885.6060606061	2	0	9	167	2	178	1	0.1818181818	0.9494382022	0.0112359551	0.1818181818	15.1818181818	16.1818181818	0.81	1	0.0132545732	0.9941881845	0.999999999	0.0000000455	0.0034913985	30.708677686	3.5	0.75	0.75	0.1936491673	0.271	0.1426250001	3	2	102	71	5	178	0.6	0.0280373832	0.4157303371	0.0168539326	0.0285714286	0.0171428571	1.0171428571	0.99144	0.08146	1	0	1	0	0.6667545635	0.0021745868	33.6666666667	0.5714285714	0.5714285714	0.1749635531	0.0158500061	0.0022298447	
164	Year_(2014) :  (P3__Human_Rights(9.9)  ->  P3__Human_Rights(9.3)) >÷< (Total(Alert)  ->  Total(Warning))	1.07	0.3333333333	0.1629502573	0.5337078652	15.0516594517	1.5	9.6363636364	2.2837837838	116.6407982262	1.5	9.6363636364	2.2837837838	116.6407982262	2	0	9	167	2	178	1	0.1818181818	0.9494382022	0.0112359551	0.1818181818	15.1818181818	16.1818181818	0.81	1	0.0132545732	0.9941881845	0.999999999	0.0000000455	0.0034913985	30.708677686	3.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	1	103	72	3	178	0.6666666667	0.0188679245	0.4157303371	0.0112359551	0.019047619	0.1301587302	1.1301587302	0.972	0.271	1	0	1	0	0.6341216392	0.0743560401	51	0.6	0.6	0.2	0.0522999963	0.0140187495	
165	Year_(2014) :  (P3__Human_Rights(9.9)  ->  P3__Human_Rights(8.3)) >÷< (Total(Alert)  ->  Total(Warning))	1.07	0.3333333333	0.1629502573	0.5337078652	15.0516594517	1.5	9.6363636364	2.2837837838	116.6407982262	1.5	9.6363636364	2.2837837838	116.6407982262	2	0	9	167	2	178	1	0.1818181818	0.9494382022	0.0112359551	0.1818181818	15.1818181818	16.1818181818	0.81	1	0.0132545732	0.9941881845	0.999999999	0.0000000455	0.0034913985	30.708677686	3.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	1	103	72	3	178	0.6666666667	0.0188679245	0.4157303371	0.0112359551	0.019047619	0.1301587302	1.1301587302	0.972	0.271	1	0	1	0	0.6341216392	0.0743560401	51	0.6	0.6	0.2	0.0522999963	0.0140187495	
169	Year_(2014) :  (P3__Human_Rights(9.9)  ->  P3__Human_Rights(7)) >÷< (Total(Alert)  ->  Total(Warning))	1.07	0.3333333333	0.1629502573	0.5337078652	15.0516594517	1.5	9.6363636364	2.2837837838	116.6407982262	1.5	9.6363636364	2.2837837838	116.6407982262	2	0	9	167	2	178	1	0.1818181818	0.9494382022	0.0112359551	0.1818181818	15.1818181818	16.1818181818	0.81	1	0.0132545732	0.9941881845	0.999999999	0.0000000455	0.0034913985	30.708677686	3.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	1	103	72	3	178	0.6666666667	0.0188679245	0.4157303371	0.0112359551	0.019047619	0.1301587302	1.1301587302	0.972	0.271	1	0	1	0	0.6341216392	0.0743560401	51	0.6	0.6	0.2	0.0522999963	0.0140187495	
170	Year_(2014) :  (P3__Human_Rights(9.9)  ->  P3__Human_Rights(6.3)) >÷< (Total(Alert)  ->  Total(Warning))	1.07	0.3333333333	0.1629502573	0.5337078652	15.0516594517	1.5	9.6363636364	2.2837837838	116.6407982262	1.5	9.6363636364	2.2837837838	116.6407982262	2	0	9	167	2	178	1	0.1818181818	0.9494382022	0.0112359551	0.1818181818	15.1818181818	16.1818181818	0.81	1	0.0132545732	0.9941881845	0.999999999	0.0000000455	0.0034913985	30.708677686	3.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	1	103	72	3	178	0.6666666667	0.0188679245	0.4157303371	0.0112359551	0.019047619	0.1301587302	1.1301587302	0.972	0.271	1	0	1	0	0.6341216392	0.0743560401	51	0.6	0.6	0.2	0.0522999963	0.0140187495	
172	Year_(2014) :  (P3__Human_Rights(9.9)  ->  P3__Human_Rights(5.9)) >÷< (Total(Alert)  ->  Total(Warning))	1.07	0.3333333333	0.1629502573	0.5337078652	15.0516594517	1.5	9.6363636364	2.2837837838	116.6407982262	1.5	9.6363636364	2.2837837838	116.6407982262	2	0	9	167	2	178	1	0.1818181818	0.9494382022	0.0112359551	0.1818181818	15.1818181818	16.1818181818	0.81	1	0.0132545732	0.9941881845	0.999999999	0.0000000455	0.0034913985	30.708677686	3.5	0.75	0.75	0.1936491673	0.271	0.1426250001	2	1	103	72	3	178	0.6666666667	0.0188679245	0.4157303371	0.0112359551	0.019047619	0.1301587302	1.1301587302	0.972	0.271	1	0	1	0	0.6341216392	0.0743560401	51	0.6	0.6	0.2	0.0522999963	0.0140187495	
