Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Afghanistan,2014,7th,Alert,10,9.4,8.7,8.3,7.5,7.8,9.5,9,8.3,8.8,9.3,9.9
Albania,2014,123rd,Stable,5,6.2,4.7,5.5,4.5,6.9,6.5,4.8,5.5,4.4,3.4,6.2
Algeria,2014,71st,Warning,7.5,7.3,7.9,6.1,5.9,5,7.5,6.1,7.4,5.7,6.7,5.7
Angola,2014,43rd,Warning,5.8,7.2,7.1,5.4,9.5,6,8,9.1,7,9,7.5,5.8
Antigua and Barbuda,2014,127th,Stable,4.9,3.7,4.1,4.5,5.3,7.6,5.8,4.1,4.7,4.9,3.3,6.1
Argentina,2014,144th,Stable,3.3,2.8,5.3,4.3,5.7,2.7,4.3,4.1,4.4,4.2,2.3,3.9
Armenia,2014,104th,Warning,5.6,7.4,5.7,5.8,5.3,5.7,6.7,4.4,6.8,4.7,6.7,6.5
Australia,2014,169th,Sustainable,2,1.6,3.9,2.4,3,0.9,1,2.1,2.3,3.4,2.4,1.3
Austria,2014,167th,Sustainable,1.4,2.7,4.6,2.2,3.7,1.8,1.6,1.8,2,2.7,2.3,1.7
Azerbaijan,2014,76th,Warning,7,7.9,6.7,4.4,6.2,4.7,8.3,5.3,7.7,5.4,7.6,6.6
Bahamas,2014,134th,Stable,4.3,4.5,4.4,4.7,5.3,5.3,4.6,4.7,3.1,6.5,2.7,4
Bahrain,2014,120th,Warning,6.2,7.1,7.6,3.5,5.4,3.3,7.9,2.5,7.8,4.9,2.9,5.6
Bangladesh,2014,29th,Warning,7.8,9.3,8.7,7,7.5,7.2,8.4,8.4,8,7.6,6.9,6
Barbados,2014,138th,Stable,4.2,4.2,4.4,5.8,5.4,5.9,3.3,3,2.8,4.1,3,5.3
Belarus,2014,90th,Warning,6.1,8.3,7.1,6,5.5,3.7,8.8,5,8.1,5.5,3.6,7.3
Belgium,2014,164th,Sustainable,2.3,3.9,4.2,4,3.5,1.9,2,2.4,1.5,2.8,1.6,1.9
Belize,2014,114th,Stable,5.5,4.3,4.4,5.6,6.5,6.8,6,6.1,4.4,6.2,4.6,6.6
Benin,2014,74th,Warning,5.9,6.1,3.6,6.9,7.2,6.5,6.1,8.7,5.1,8.2,6.3,7.6
Bhutan,2014,64th,Warning,5.3,7.5,7.6,6,7.2,7.1,5.5,6.6,7,6.3,7.2,7.6
Bolivia,2014,70th,Warning,6.4,8,6.8,5.9,8.6,6.1,6.9,7,6,6.6,4.3,6.3
Bosnia and Herzegovina,2014,86th,Warning,6.5,8.7,7.4,5.5,5.9,5.8,6.8,4.4,6.1,4.1,6.8,7.9
Botswana,2014,121st,Stable,3.2,3.3,5.1,6.4,7.8,5.3,4.1,6.3,4.6,8,5.5,4.9
Brazil,2014,125th,Stable,5.6,4.9,5.6,3.6,8,3.8,5.4,5.6,5.6,6.7,3.6,3
Brunei Darussalam,2014,123rd,Stable,5.6,7.4,6.2,3.1,7.8,4.9,7.1,2.5,7.4,4.5,3,4.1
Bulgaria,2014,133rd,Stable,4.4,5.3,4.9,5.2,4.8,4.9,4.9,4.1,3.7,4.1,3.4,4.7
Burkina Faso,2014,39th,Warning,6.9,7.3,5.3,7.4,8.1,6.6,7.8,8.8,6.5,9,7.6,7.7
Burundi,2014,21st,Warning,7.4,7.9,8.1,8.8,7.5,6.5,8.1,8.6,8,8.7,9,8.5
Cambodia,2014,40th,Warning,6.3,8.6,7.3,6.1,7.4,7.2,8.4,8,7.9,7.5,6.1,7.7
Cameroon,2014,27th,Warning,7.7,9.5,7.8,5.9,7.5,7.5,8.2,8.5,8.3,8.1,7.6,6.5
Canada,2014,168th,Sustainable,2.1,2.5,3.4,2.1,3.2,2.2,1.2,2.3,2.1,2.7,2.3,1.3
Cape Verde,2014,93rd,Warning,5.7,5.5,4.2,6.2,7.2,8.6,6,6.8,4.8,6.8,4.4,7.9
Central African Republic,2014,3rd,Alert,9.9,9.7,9.5,7.8,9.4,7,9.5,9.7,9.5,8.7,10,9.9
Chad,2014,6th,Alert,9.1,9.8,8.5,7.7,8.8,8.3,9.4,10,9.5,9.6,9.8,8.2
Chile,2014,153rd,Stable,2.8,1.7,3.8,3.9,5.4,2.9,3.3,4.2,3.7,4.6,2.6,3.1
China,2014,68th,Warning,6.2,7.2,8.6,3.9,7.7,4.8,7.9,6.5,9.1,7.7,5.9,3.5
Colombia,2014,59th,Warning,7,7.7,7.7,4.1,7.8,7,7.4,6.3,7.1,6.2,8,6.8
Comoros,2014,54th,Warning,7.5,7.5,5.3,8.3,6.7,7.5,7.1,8.2,6.9,7.3,4.8,8
Congo Democratic Republic,2014,4th,Alert,9.4,9.5,9.6,8.2,8.5,7.2,9.3,9.4,10,9.4,9.9,9.8
Congo Republic,2014,37th,Warning,6.4,6.7,6.3,6.7,8.1,6.5,8.4,8.8,7.6,8.1,8.1,7.9
Costa Rica,2014,140th,Stable,2.8,3.8,4.4,4.6,5.8,3.2,3.2,4.8,2.3,4.6,4.4,4.6
Cote dIvoire,2014,14th,Warning,8.8,9.4,9,7.4,7.6,7,8.8,8.7,8.7,7.8,9.1,9.4
Croatia,2014,136th,Warning,4.5,4.4,5.6,5,4.1,4.6,3.7,3.2,4.4,3.5,5.2,4.7
Cuba,2014,107th,Stable,6,7.2,4.8,4.8,5.9,6,6.8,4.9,7,5.9,5,6.5
Cyprus,2014,112th,Warning,4.7,7.9,7.3,6.4,6.7,4.8,5.6,3.3,3.6,4.3,4.2,9.1
Czech Republic,2014,154th,Stable,2.3,4.3,3.8,4.8,3.5,3.1,4.2,3.4,2.4,2.4,2.3,2.9
Denmark,2014,176th,Sustainable,1.8,1.4,3.4,2.2,1.8,2,0.8,1.7,1.6,2.8,1.4,1.9
Djibouti,2014,45th,Warning,6.9,7.6,6.4,7.2,7.5,5.5,7.9,7.7,6.9,8.1,7.4,8
