Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Afghanistan,2015,8th,Alert,10,9.3,8.9,8.6,7.2,8.1,9.7,9.3,8.6,9.3,9.1,9.8,6.04,1.82,0.398,0.479,5.6,0.479
Albania,2015,125th,Stable,4.7,6.2,5,5.2,4.2,7.1,6.2,4.5,5.5,4.1,3.1,6.1,7.78,3.5,0.715,0.762,7.41,0.762
Algeria,2015,67th,Warning,8,7.7,8.2,6.4,6,5.1,7.8,5.8,7.1,5.7,6.4,5.4,7.48,2.12,0.658,0.743,5.19,0.743
Angola,2015,42nd,Warning,6,7.2,7.3,5.6,9.6,6,8.3,8.9,7.3,8.7,7.6,5.6,8.13,1.52,0.718,0.857,5.77,0.857
Antigua and Barbuda,2015,127th,Stable,5.2,3.7,3.9,5,5,7.3,5.9,3.9,4.5,4.6,3,5.8,5.23,1.46,0.48,0.531,5.9,0.531
Argentina,2015,141st,Stable,3.6,2.8,5,4.9,5.4,3,4.7,4.3,4.1,3.8,2,4,7.61,3.24,0.695,0.784,0.05,0.784
Armenia,2015,108th,Warning,5.3,7,5.4,6,5,6,7,4.1,6.5,3.6,7,6.8,7.63,1.22,0.807,0.826,7.31,0.826
Australia,2015,170th,Sustainable,2.1,1.6,4.4,2.1,2.7,1,1.1,2,2.4,1.8,2.1,1,7.47,1.12,0.73,0.741,9.39,0.741
Austria,2015,167th,Sustainable,1.1,2.7,4.3,2.2,3.4,1.5,1.4,1.6,1.7,2.4,2,1.7,8.24,0.98,0.939,0.937,8.12,0.937
Azerbaijan,2015,80th,Warning,6.7,7.9,6.4,4.1,5.9,4.3,8.6,5.4,8.4,5.1,7.6,6.9,8.14,3.02,0.82,0.892,1.12,0.892
Bahamas,2015,136th,Stable,4,4.5,4.1,4.7,5,5,4.3,4.4,3,6.1,2.8,3.7,7.08,0.24,0.723,0.758,0,0.758
Bahrain,2015,119th,Warning,6.7,7.1,7.7,3.2,5.1,3.5,8.4,2.3,7.8,4.6,2.6,5.3,7.54,0.88,0.713,0.79,10,0.79
Bangladesh,2015,32nd,Warning,7.7,9.6,8.4,6.7,7.2,7.5,8.5,8.1,7.7,8.1,6.6,5.7,7.66,2.46,0.717,0.823,9.37,0.823
Barbados,2015,138th,Stable,4.3,4.2,4.1,5.7,5.1,5.4,3,2.7,2.9,3.8,2.7,5.4,7.16,1.18,0.457,0.575,8.58,0.575
Belarus,2015,87th,Warning,6.6,8.3,6.8,6.1,5.2,3.4,8.6,4.7,8.4,5.6,4.1,7.8,7.56,1.7,0.773,0.794,3.76,0.794
Belgium,2015,163rd,Sustainable,2,3.9,4.1,4.5,3.2,1.9,1.9,2.1,1.2,2.5,1.6,1.5,7.13,2.32,0.833,0.798,1.16,0.798
Belize,2015,116th,Stable,5.8,4.3,4.1,5.9,6.2,6.5,5.7,5.8,4.1,5.9,4.1,6.9,8.08,0.22,0.841,0.895,0.35,0.895
Benin,2015,73rd,Warning,6.2,6.1,3.9,6.6,7.5,6.8,6.2,8.6,5.6,8.2,6,7.1,7,0.52,0.704,0.706,3.97,0.706
Bhutan,2015,74th,Warning,5,7.5,7.9,5.7,6.9,6.8,5,6.6,6.5,6,6.9,7.9,5.96,0.64,0.408,0.481,2.59,0.481
Bolivia,2015,76th,Warning,6.6,8,6.5,5.4,8.6,6.4,7,6.9,5.9,6.7,3.8,6.2,6.95,6.24,0.452,0.604,3.7,0.604
Bosnia and Herzegovina,2015,78th,Warning,6.2,8.7,7.1,5.8,5.6,5.5,7,4.1,5.8,6.1,7.3,8.2,6.83,3.58,0.656,0.671,6.58,0.671
Botswana,2015,122nd,Stable,3.5,3.3,5.4,6.3,7.7,5.1,3.8,6,4.4,7.5,5.2,4.6,7.65,1.36,0.694,0.747,0.08,0.747
Brazil,2015,123rd,Stable,5.9,4.9,5.9,3.9,7.7,4.1,5.1,5.9,5.8,7.6,3.1,2.7,6.45,0.32,0.658,0.698,2.93,0.698
Brunei Darussalam,2015,121st,Stable,5.6,7.4,5.9,2.8,7.8,4.6,8,2.2,7.7,4.2,2.7,4.1,7.45,2.28,0.677,0.754,2.45,0.754
Bulgaria,2015,130th,Stable,4.1,5.3,5.2,6.2,4.9,4.6,5,4.2,3.4,4.2,3.5,4.8,7.88,0.6,0.714,0.864,6.25,0.864
Burkina Faso,2015,39th,Warning,7.4,7.8,5,7.1,8.1,6.9,8.1,8.9,6.2,9.1,7.1,7.5,7.42,0.32,0.778,0.792,0.56,0.792
Burundi,2015,18th,Warning,7.7,7.9,8,8.5,7.7,6.8,8.4,8.3,8.2,9.2,9,8.4,5.87,2.14,0.261,0.399,4.24,0.399
Cambodia,2015,42nd,Warning,6.7,8.2,7.4,6.4,7.1,7.5,8.4,7.7,8.3,7,5.8,7.4,5.67,0.08,0.395,0.406,1.45,0.406
Cameroon,2015,28th,Warning,7.6,9.1,8.1,6.2,7.8,7.5,8.4,8.8,8,8,7.8,7,7.33,0.88,0.531,0.646,0,0.646
Canada,2015,168th,Sustainable,2.2,2.5,3.9,1.8,3,2.2,0.9,2,1.8,2.4,2,1,6.84,1.38,0.459,0.558,5.29,0.558
Cape Verde,2015,94th,Warning,5.7,5.5,4,6.2,7.5,8.6,5.7,6.5,4.5,7.1,4.1,8.1,5.55,1.52,0.493,0.514,0,0.514
Central African Republic,2015,3rd,Alert,9.8,10,9.6,8.3,9.7,6.9,9.5,9.9,10,8.4,10,9.8,8.2,1.12,0.89,0.919,5.25,0.919
Chad,2015,6th,Alert,8.8,9.5,8.2,7.8,9.1,8.6,9.3,9.7,9.4,9.7,10,8.3,5.07,1.28,0.338,0.347,1.59,0.347
Chile,2015,150th,Stable,3.1,1.7,4.1,3.6,5.1,3.2,3,4.5,3.4,5.1,2.1,2.6,5.16,0.92,0.28,0.394,4.01,0.394
China,2015,83rd,Warning,5.9,7.2,8.3,3.4,7.4,4.6,8,6.2,9.2,7.4,5.6,3.2,8.17,1.82,0.784,0.845,0,0.845
Colombia,2015,61st,Warning,7.3,7.6,8,3.8,7.5,6.7,7.1,6,7.3,6.9,7.8,6.5,7.58,3.88,0.631,0.734,5.23,0.734
