Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Afghanistan,2015,8th,Alert,10,9.3,8.9,8.6,7.2,8.1,9.7,9.3,8.6,9.3,9.1,9.8
Albania,2015,125th,Stable,4.7,6.2,5,5.2,4.2,7.1,6.2,4.5,5.5,4.1,3.1,6.1
Algeria,2015,67th,Warning,8,7.7,8.2,6.4,6,5.1,7.8,5.8,7.1,5.7,6.4,5.4
Angola,2015,42nd,Warning,6,7.2,7.3,5.6,9.6,6,8.3,8.9,7.3,8.7,7.6,5.6
Antigua and Barbuda,2015,127th,Stable,5.2,3.7,3.9,5,5,7.3,5.9,3.9,4.5,4.6,3,5.8
Argentina,2015,141st,Stable,3.6,2.8,5,4.9,5.4,3,4.7,4.3,4.1,3.8,2,4
Armenia,2015,108th,Warning,5.3,7,5.4,6,5,6,7,4.1,6.5,3.6,7,6.8
Australia,2015,170th,Sustainable,2.1,1.6,4.4,2.1,2.7,1,1.1,2,2.4,1.8,2.1,1
Austria,2015,167th,Sustainable,1.1,2.7,4.3,2.2,3.4,1.5,1.4,1.6,1.7,2.4,2,1.7
Azerbaijan,2015,80th,Warning,6.7,7.9,6.4,4.1,5.9,4.3,8.6,5.4,8.4,5.1,7.6,6.9
Bahamas,2015,136th,Stable,4,4.5,4.1,4.7,5,5,4.3,4.4,3,6.1,2.8,3.7
Bahrain,2015,119th,Warning,6.7,7.1,7.7,3.2,5.1,3.5,8.4,2.3,7.8,4.6,2.6,5.3
Bangladesh,2015,32nd,Warning,7.7,9.6,8.4,6.7,7.2,7.5,8.5,8.1,7.7,8.1,6.6,5.7
Barbados,2015,138th,Stable,4.3,4.2,4.1,5.7,5.1,5.4,3,2.7,2.9,3.8,2.7,5.4
Belarus,2015,87th,Warning,6.6,8.3,6.8,6.1,5.2,3.4,8.6,4.7,8.4,5.6,4.1,7.8
Belgium,2015,163rd,Sustainable,2,3.9,4.1,4.5,3.2,1.9,1.9,2.1,1.2,2.5,1.6,1.5
Belize,2015,116th,Stable,5.8,4.3,4.1,5.9,6.2,6.5,5.7,5.8,4.1,5.9,4.1,6.9
Benin,2015,73rd,Warning,6.2,6.1,3.9,6.6,7.5,6.8,6.2,8.6,5.6,8.2,6,7.1
Bhutan,2015,74th,Warning,5,7.5,7.9,5.7,6.9,6.8,5,6.6,6.5,6,6.9,7.9
Bolivia,2015,76th,Warning,6.6,8,6.5,5.4,8.6,6.4,7,6.9,5.9,6.7,3.8,6.2
Bosnia and Herzegovina,2015,78th,Warning,6.2,8.7,7.1,5.8,5.6,5.5,7,4.1,5.8,6.1,7.3,8.2
Botswana,2015,122nd,Stable,3.5,3.3,5.4,6.3,7.7,5.1,3.8,6,4.4,7.5,5.2,4.6
Brazil,2015,123rd,Stable,5.9,4.9,5.9,3.9,7.7,4.1,5.1,5.9,5.8,7.6,3.1,2.7
Brunei Darussalam,2015,121st,Stable,5.6,7.4,5.9,2.8,7.8,4.6,8,2.2,7.7,4.2,2.7,4.1
Bulgaria,2015,130th,Stable,4.1,5.3,5.2,6.2,4.9,4.6,5,4.2,3.4,4.2,3.5,4.8
Burkina Faso,2015,39th,Warning,7.4,7.8,5,7.1,8.1,6.9,8.1,8.9,6.2,9.1,7.1,7.5
Burundi,2015,18th,Warning,7.7,7.9,8,8.5,7.7,6.8,8.4,8.3,8.2,9.2,9,8.4
Cambodia,2015,42nd,Warning,6.7,8.2,7.4,6.4,7.1,7.5,8.4,7.7,8.3,7,5.8,7.4
Cameroon,2015,28th,Warning,7.6,9.1,8.1,6.2,7.8,7.5,8.4,8.8,8,8,7.8,7
Canada,2015,168th,Sustainable,2.2,2.5,3.9,1.8,3,2.2,0.9,2,1.8,2.4,2,1
Cape Verde,2015,94th,Warning,5.7,5.5,4,6.2,7.5,8.6,5.7,6.5,4.5,7.1,4.1,8.1
Central African Republic,2015,3rd,Alert,9.8,10,9.6,8.3,9.7,6.9,9.5,9.9,10,8.4,10,9.8
Chad,2015,6th,Alert,8.8,9.5,8.2,7.8,9.1,8.6,9.3,9.7,9.4,9.7,10,8.3
Chile,2015,150th,Stable,3.1,1.7,4.1,3.6,5.1,3.2,3,4.5,3.4,5.1,2.1,2.6
China,2015,83rd,Warning,5.9,7.2,8.3,3.4,7.4,4.6,8,6.2,9.2,7.4,5.6,3.2
Colombia,2015,61st,Warning,7.3,7.6,8,3.8,7.5,6.7,7.1,6,7.3,6.9,7.8,6.5
Comoros,2015,59th,Warning,7.2,7.5,5,8,7,7.8,6.8,8,6.1,7.6,4.5,7.8
