Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Life expectancy at birth (years),Total unemployment rate (% of labour force),Education Index,Homeless People due to Natural Disaster,GTI,Prison Population
Afghanistan,2016,9th,107.9,10,8.6,8.6,8.5,7.5,8.4,9.1,9.6,8.7,9.5,9.5,9.9,6.07,1.92,3.98,4.79,9.065,4.79
Albania,2016,124th,61.2,4.4,6.2,4.7,5.5,3.8,7.6,5.9,4.2,5,4.2,3.3,6.4,7.8,3.46,7.15,7.64,0.243,7.64
Algeria,2016,76th,78.3,7.7,7.1,7.9,6.8,6.3,5.4,7.8,5.5,6.8,5.4,6.5,5.1,7.5,2.1,6.58,7.45,0,7.45
Angola,2016,37th,90.5,6.2,7.2,7.7,6.1,9.6,6.3,8.8,9.2,7.5,9,7.3,5.6,8.15,1.52,7.18,8.58,3.342,8.58
Antigua and Barbuda,2016,129th,56.2,5.4,3.7,3.9,4.7,4.7,7,5.6,4,4.6,4.3,2.8,5.5,5.27,1.34,4.82,5.33,6.466,5.33
Argentina,2016,140th,48.4,4,2.8,4.7,5.5,5.1,2.7,5,4,3.8,4,2.5,4.3,7.62,3.26,6.94,7.86,6.721,7.86
Armenia,2016,109th,69.6,5,7,5.6,6.5,4.7,5.9,7.2,3.8,7,3.3,6.7,6.9,7.65,1.26,8.08,8.27,2.142,8.27
Australia,2016,172nd,22.5,1.8,1.7,4.1,1.8,2.4,1,1,1.7,2.5,1.5,2,1,7.49,1.14,7.3,7.43,0.823,7.43
Austria,2016,167th,27.5,1.2,2.7,4,1.9,3.1,1.2,1.1,1.3,1.4,2.1,6.1,1.4,8.25,0.94,9.39,9.39,6.487,9.39
Azerbaijan,2016,81st,76.3,6.4,7.9,6.7,3.8,5.6,4,8.9,5.1,8.6,4.8,7.9,6.6,8.16,2.88,8.2,8.93,3.76,8.93
Bahamas,2016,137th,51.6,4.3,4.5,4.1,4.5,4.7,4.7,4,4.8,3.3,6.6,2.7,3.4,7.09,0.24,7.23,7.59,6.813,7.59
Bahrain,2016,121st,63.4,6.4,7.1,7.9,3.5,4.8,3.2,8.4,2,8.3,4.3,2.5,5,7.56,0.88,7.15,7.92,1.636,7.92
Bangladesh,2016,36th,90.7,7.8,9.6,8.9,6.3,6.9,7.5,8,7.8,7.6,8,6.3,6,7.67,2.46,7.17,8.24,3.544,8.24
Barbados,2016,139th,49.0,4.4,4.2,4.1,6,4.8,5.1,2.7,2.7,2.6,4.1,2.6,5.7,7.2,1.22,4.57,5.79,1.187,5.79
Belarus,2016,92nd,73.9,6.3,8.3,7.1,6.2,4.9,3.1,8.9,4.4,8.1,5.3,3.8,7.5,7.58,1.74,7.73,7.95,0.153,7.95
Belgium,2016,164th,29.0,1.9,3.9,4.4,4.4,2.9,1.6,1.6,1.8,1,2.2,2.1,1.2,7.15,2.36,8.34,7.96,0,7.96
Belize,2016,116th,66.0,6.1,4.3,4.1,6.4,5.9,6.7,5.4,6.1,4.4,5.6,3.8,7.2,8.1,0.22,8.41,8.96,10,8.96
Benin,2016,72nd,78.9,5.9,7,3.6,6.3,7.8,7.1,5.9,8.9,5.4,8.5,5.7,6.8,7.01,0.52,7.04,7.06,6.66,7.06
Bhutan,2016,78th,77.6,4.7,7.5,7.6,5.2,6.6,7.2,4.5,6.3,6.3,6.3,7.2,8.2,5.98,0.72,4.14,4.85,1.219,4.85
Bolivia,2016,75th,78.5,6.7,8.3,6.2,5.1,8.8,6.7,7,7,6.2,6.4,4.1,6,6.99,6.06,4.52,6.07,7.29,6.07
Bosnia and Herzegovina,2016,88th,74.6,5.9,8.7,7,5.7,5.3,5.2,6.7,3.8,6.1,4,7.8,8.4,6.87,3.72,6.56,6.74,6.032,6.74
Botswana,2016,120th,63.5,3.8,3.3,5.1,6,8,5.2,3.5,7,4.7,7.9,4.7,4.3,7.66,1.44,6.94,7.5,0.305,7.5
Brazil,2016,117th,65.3,6.4,4.9,5.7,4.5,8,4.3,5.9,6,6.1,7.6,2.9,3,6.45,0.38,6.58,6.98,4.08,6.98
Brunei Darussalam,2016,123rd,62.0,5.3,7.4,5.9,3,7.8,4.3,8.3,2,7.9,3.9,2.4,3.8,7.47,1.96,6.81,7.54,4.791,7.54
Bulgaria,2016,132nd,53.7,3.8,5.3,5.3,5.9,4.6,4.3,4.7,3.9,3.5,3.9,4,4.5,7.9,0.58,7.16,8.65,3.485,8.65
Burkina Faso,2016,41st,89.4,8.1,8.1,4.7,6.5,8.4,7.2,7.3,8.9,6.3,9.4,6.8,7.7,7.43,0.3,7.78,7.94,8.108,7.94
Burundi,2016,15th,100.7,9,8.5,8.1,8.2,7.4,6.5,9,8.2,8.5,9.5,9.1,8.7,5.9,2.16,2.62,4.02,0,4.02
Cambodia,2016,46th,87.4,6.4,8.3,7.1,5.9,6.8,7.8,8.5,8,7.9,7.2,5.9,7.6,5.71,0.1,3.95,4.04,9.233,4.04
Cameroon,2016,22nd,97.8,8.1,9.4,8.5,6.3,8.1,7.8,8.7,8.9,7.7,8.3,8,8,7.35,0.92,5.34,6.48,3.334,6.48
Canada,2016,169th,23.8,1.9,2.5,3.6,1.9,2.7,1.9,1,1.7,1.5,2.1,2,1,6.88,1.38,4.59,5.63,0,5.63
Cape Verde,2016,101st,71.5,5.4,5.5,4.1,5.7,7.3,8.2,5.5,6.2,4.2,7.2,4.4,7.8,5.6,1.52,4.93,5.18,7.6,5.18
Central African Republic,2016,3rd,112.1,9.2,10,9.3,8.6,9.9,7.2,9.8,10,9.9,8.7,10,9.5,8.22,1.12,8.9,9.2,6.712,9.2
Chad,2016,7th,110.1,9.1,9.8,8.5,8,9.3,8.9,9.2,9.8,9.3,9.9,9.8,8.5,5.15,1.28,3.38,3.52,7.686,3.52
